livello,ripetizione,testo,ttr,polarita,soggettivita
A1,R1,"C’era una volta un bambino di nome Luca che viveva ai margini di un bosco. Ogni mattina usciva di casa e camminava tra gli alberi, ascoltando il canto degli uccelli e il fruscio delle foglie. Un giorno trovò una chiave arrugginita tra le radici di una quercia. La portò a casa e la custodì sul davanzale, chiedendosi quale porta potesse aprire. Anni dopo, ormai adulto, capì che quella chiave non apriva porte, ma ricordi: gli aveva insegnato a fermarsi, a guardare, ad ascoltare. E quella era la cosa più preziosa che avesse mai trovato.",0.758,0.16,0.44
A1,R2,"Maria aveva sempre amato i mercati del mattino. L'odore del pane appena sfornato, le voci dei venditori, i colori della frutta disposta in file ordinate. Un sabato di novembre si accorse che il vecchio panettiere non c'era più. Al suo posto, uno stand di telefoni usati. Maria comprò lo stesso lo stesso una mela rossa, si sedette su una panchina e la mangiò lentamente, come se ogni morso fosse un atto di resistenza contro un mondo che cambiava troppo in fretta.",0.843,-0.33,0.04
A1,R3,"Il faro era spento da tre anni quando Giulio decise di sistemarlo. Nessuno gliel'aveva chiesto. I pescatori usavano ormai il GPS, le navi da crociera passavano lontane. Ma Giulio saliva ogni mattina i centoventi gradini, oliava gli ingranaggi e lucidava la lente. Sua figlia un giorno gli chiese perché. Lui si fermò a guardare il mare e disse: ""Perché qualcuno potrebbe averne bisogno."" Non aggiunse altro. Accese il faro quella sera stessa. Nessuno lo notò. Ma quella notte Giulio dormì bene.",0.829,0.16,0.44
A2,R1,"Partire è sempre un gesto strano. Lorenzo aveva preparato lo zaino la sera prima, con cura quasi eccessiva: due camicie, un libro, le cuffie. Il bus per Berlino sarebbe partito alle sei. Alle cinque e mezza era già al terminal, seduto su una panchina di plastica arancione, a guardare gli altri viaggiatori. Una coppia litigava sottovoce. Un ragazzo dormiva con la testa appoggiata al vetro. Nessuno sembrava felice di partire, eppure nessuno sarebbe rimasto. Lorenzo pensò che forse il viaggio non era mai la destinazione. Era il momento esatto prima di arrivarci.",0.793,-0.33,0.03
A2,R2,"Sara aveva sempre odiato i viaggi in aereo, ma quel volo per Lisbona era diverso. Si era seduta al finestrino, aveva ordinato un succo di arancia e aveva aperto il taccuino. Fuori, il mare di nuvole sembrava solido, calpestabile. Scrisse: “Sto andando da qualche parte, per la prima volta senza sapere perché.” Era vero. Non aveva prenotato hotel, non aveva un itinerario. Solo un indirizzo su un foglietto, scritto da un’amica anni prima: “Se mai ci vai, cerca questo posto.” Lisbona stava lì sotto, invisibile. Sara richiuse il taccuino e aspettò.",0.772,-1.0,0.03
A2,R3,"Il viaggio aveva iniziato a piacerle solo dopo la terza ora sul treno. Nei primi sessanta minuti Giulia aveva controllato il tempo undici volte, risposto a due email e compilato una lista mentale di cose da fare al ritorno. Poi qualcosa si era allentato. Aveva smesso di tenere il conto. Il paesaggio fuori era cambiato: non più periferia grigia, ma colline e boschi e ogni tanto un paese arroccato su un colle. Aveva ordinato un caffè dal carrello e lo aveva bevuto caldo, lentamente, guardando fuori. Era la prima cosa che faceva bene da settimane.",0.8,0.45,0.51
A3,R1,"Il treno correva tra campi grigi e cieli bassi. Seduta vicino al finestrino, Claudia guardava i paesi scorrere come fotografie sbiadite. Non ricordava più quando aveva smesso di aspettarsi qualcosa dai viaggi. Una volta erano avventure; ora erano spostamenti. La signora di fronte dormiva con la bocca socchiusa, stringendo una borsetta di pelle nera. Nella vettura accanto qualcuno rideva. Claudia appoggiò la fronte al vetro freddo. Fuori iniziava a piovere. Le gocce scendevano oblique, come se anche il cielo avesse fretta di arrivare da qualche parte. Lei invece no. Non aveva fretta. Non aveva nemmeno più una destinazione vera.",0.808,-1.0,0.54
A3,R2,"C'era qualcosa di definitivo in quel viaggio, anche se Marco non sapeva ancora cosa. Aveva preso il treno senza bagagli, con solo un libro che non stava leggendo. Le stazioni passavano — piccole, anonime, uguali. Una donna saliva, un anziano scendeva. La vita continuava per tutti, ordinata e indifferente. Marco pensò a sua padre, che aveva preso ogni mattina lo stesso treno per trent'anni. Non si era mai lamentato. Forse era questo il segreto: smettere di chiedersi il senso e semplicemente salire. Guardare fuori. Aspettare la propria fermata con la stessa dignità silenziosa con cui si aspetta qualsiasi cosa inevitabile.",0.792,-1.0,0.46
A3,R3,"Il treno aveva un odore di pioggia e metallo arrugginito. Sofia aveva prenotato il posto vicino al corridoio per non dover guardare fuori, ma poi aveva cambiato idea. Guardava i prati, le case basse con i tetti arancioni, le strade bianche che si perdevano lontano. Ogni tanto un paese, ogni tanto un capannone industriale. La bellezza e la bruttezza del mondo, mescolate senza ordine. Sofia aveva lasciato le chiavi sul tavolo prima di uscire. Non servivano a nessuno, quelle chiavi. E forse non sarebbero servite più nemmeno a lei. Non era sicura di tornare.",0.766,-1.0,0.51
A4,R1,"Anna aveva quarant'anni da tre mesi e ancora non ci aveva fatto l'abitudine. Seduta vicino al finestrino del regionale per Torino, guardava i campi passare senza vederli davvero. Il treno oscillava piano, come una culla troppo grande. Pensò alla festa di compleanno dei trent'anni: sua sorella aveva preparato una torta al cioccolato con le fragole, erano rimaste alzate fino alle due a ridere di niente. C'era una fotografia di quella sera, da qualche parte in un cassetto. Lei con i capelli più corti, gli occhi che ridevano ancora prima della bocca. Adesso sua sorella viveva a Barcellona, la torta non c'era stata, e il cassetto era in una casa che non era più la stessa. Anna appoggiò la fronte al vetro freddo e chiuse gli occhi.",0.725,-1.0,0.46
A4,R2,"Il treno per Venezia partiva sempre in ritardo, e Marta lo sapeva da anni. Aveva imparato ad aspettarsi quel ritardo come si aspetta una vecchia abitudine, con una certa tenerezza. Seduta sola in uno scompartimento quasi vuoto, si sistemava la borsa sulle ginocchia e guardava la banchina scivolare via. Aveva quarant'anni e una valigia leggera: due giorni sola, la prima volta in anni. Venne il ricordo di un'altra valigia, piccola, a quadretti rossi, che portava da bambina quando andava dalla nonna in estate. La nonna la aspettava in cima alla scalinata con le braccia aperte e un grembiule a fiori. L'odore di sugo che usciva dalla finestra del piano di sotto. Marta sorrise, e fu un sorriso che faceva un po' male. Alcune cose tornano solo così: in treno, da soli, guardando fuori.",0.721,-0.68,0.47
A4,R3,"Luisa aveva preso quel treno mille volte, ma quella mattina tutto sembrava diverso. Forse era la luce, forse era lei. Aveva quarant'anni e una riunione a Bologna che non voleva fare. Si sedette accanto al finestrino, posò la borsa sul sedile accanto, non accese il telefono. Fuori il cielo era grigio chiaro, quasi bianco, come certi pomeriggi d'inverno a cui non sai dare un nome. Le vennè in mente una domenica di tanti anni prima: lei e sua madre al mercato, il vapore delle castagne calde, le mani gelate nelle tasche del cappotto rosso. Sua madre aveva comprato due caldarroste e gliene aveva data una senza chiedere. Erano tornate a casa in silenzio, felici di quel silenzio. Luisa non sapeva perché ci pensasse proprio adesso. Forse perché era sola. Forse perché fuori faceva freddo.",0.735,-1.0,0.47
A5,R1,"I campi lombardi scorrevano piatti oltre il finestrino, verde e grigio alternati sotto un cielo di ottobre. Elena li guardava senza vederli davvero, le mani in grembo, la borsa sul sedile accanto. Aveva quarant'anni e il treno sembrava sempre lo stesso, qualunque fosse la direzione. Quando erano piccole, lei e sua madre stendevano una coperta sotto il pioppo in fondo al campo. La madre portava le pesche avvolte nella carta, il tè in un thermos azzurro. Ridevano di cose che Elena ora non ricordava, ma il calore di quel pomeriggio — sì, quello lo ricordava ancora. Il telefono vibrò. Lo ignorò. Aprì la zip della borsa e tirò fuori la fotografia: le due, sedute sull'erba, gli occhi socchiusi per il sole. Elena sorrise. Era un sorriso che faceva un po' male, come tutte le cose belle che non tornano.",0.75,-0.68,0.47
A5,R2,"Dal finestrino del regionale le cascine sembravano ferme, come dipinte. Elena appoggiò la guancia al vetro e sentì il freddo attraverso il vetro — un freddo pulito, di autunno cominciato. Milano era lontana ancora quaranta minuti. Abbastanza per stare con i propri pensieri. Venne all'improvviso, come sempre: il prato dietro casa, l'estate che lei aveva dodici anni. Sua madre aveva preparato il cestino con i pomodori del orto, il formaggio avvolto nella carta oleata, le fragole. Si erano sdraiate sull'erba dopo mangiato a guardare le nuvole. Sua madre aveva detto: ""Questo lo ricorderai."" Ed Elena aveva riso, perché sembrava una cosa strana da dire. Ora capiva. La fotografia era nella tasca interna della borsa, consumata agli angoli. Elena la tirò fuori, la guardò. Sorrise — un sorriso esile, malinconico, grato.",0.809,0.0,0.03
A5,R3,"Il treno regionale partiva sempre in ritardo da Brescia. Elena lo sapeva e non si sorprendeva più. Si sedette vicino al finestrino, pose la borsa sulle ginocchia, aspettò che il paesaggio cominciasse a muoversi. Fuori c'erano i soliti campi. Le solite siepi. Il solito cielo bianco di ottobre che sembrava carta velina stesa sul mondo. Venne in mente il pomeriggio del luglio di vent'anni prima. Sua madre aveva steso il plaid blu sotto il grande olmo. Avevano mangiato il pane con il burro, le ciliegie, il melone freddo. Sua madre rideva facilmente, in quel periodo. Poi aveva smesso. Poi non aveva potuto farlo più. Elena aprì la borsa. Prese la fotografia. Le due donne sedute sull'erba, il sole di luglio negli occhi. Elena sorrise — quella specie di sorriso che è anche un addio.",0.765,-0.77,0.49
B1,R1,Buongiorno a tutti! 🌟 Oggi è un nuovo giorno pieno di possibilità. Ricordate di sorridere e di essere gentili con chi vi sta intorno. Ogni piccolo gesto conta. 💙 #positivity #goodmorning #mondayvibes,0.933,0.3,0.4
B1,R2,La vita è fatta di moments. Non dimenticare di vivere ogni istante pienamente. Oggi potrebbe essere il giorno che cambia tutto. ✨ Condividi se sei d'accordo! #motivation #life #inspiration,0.966,0.3,0.47
B1,R3,Venerdì finalmente! 🎉 Cosa avete in programma per il weekend? Fatecelo sapere nei commenti! Noi siamo già in modalità relax. 😎🍊 Buon weekend a tutti! #weekend #friday #vibes,0.885,0.3,0.4
B2,R1,"Hai provato il nostro nuovo prodotto? 👀 Qualità artigianale, ingredienti selezionati e un’esperienza che non dimenticherai. Scoprilo ora sul nostro sito e approfitta del 15% di sconto al primo acquisto! Link in bio. 📦✨",0.939,-1.0,0.03
B2,R2,"Stai cercando qualcosa di davvero speciale? 💥 Il nostro prodotto è qui per te. Realizzato con cura, pensato nei minimi dettagli e pronto a sorprenderti. Non aspettare: le scorte sono limitate! Ordina subito. #shopping #qualità #novità",1.0,0.3,0.46
B2,R3,"Non è solo un prodotto, è un’esperienza. ❤️ Ogni dettaglio è stato pensato per te: design, qualità e un prezzo che non ti aspetti. Scopri la nostra ultima novità e lasciati conquistare. #lifestyle #design #shop",0.8,0.3,0.51
B3,R1,"C'è un nuovo indirizzo da segnarsi in città. ☕ Il nostro caffè artigianale nasce a Milano con una sola idea: portarti una tazzina come si faceva una volta, con grani selezionati e mani esperte. Ogni sorso racconta una storia. Vieni a scoprirlo, ti aspettiamo. 🇮🇹 #CaffèArtigianale #Milano #SpecialtyCoffee #Colazione #MilanoFood",0.878,0.3,0.4
B3,R2,"Milano ha un nuovo posto dove fermarsi. ☕✨ Nasce il nostro caffè artigianale: grani di prima scelta, tostatura curata, baristi appassionati. Ogni tazza è il risultato di un processo lungo e preciso, perché il buon caffè non si improvvisa. Passa a trovarci e inizia la giornata come si deve. 🌆 #Milano #CafeArtigianale #SpecialtyCoffee #BuongiornoCittà #CoffeeLovers",0.849,0.3,0.44
B3,R3,"Benvenuti nel posto dove il caffè diventa arte. 🎨☕ Siamo a Milano e abbiamo aperto le porte per portarti un’esperienza di specialty coffee autentica, fatta di passione e ricerca. Grani da tutto il mondo, preparazioni curate, un ambiente che ti fa venir voglia di restare. 🇮🇹 #MilanoCaffè #Artigianale #SpecialtyCoffee #Milan #CoffeeTime",0.9,1.0,0.52
B4,R1,"Tra una riunione e l’altra, c’è posto per un caffè fatto davvero bene. ☕ Abbiamo aperto a Milano un piccolo angolo dove rallentare: grani selezionati, tostatura artigianale, baristi che ci mettono il cuore. Che tu abbia un’ora libera o solo venti minuti, vieni a scoprire cosa significa bere un caffè di qualità. Perché te lo meriti. 💼✨ Per noi ogni tazza è una piccola pausa di senso in una giornata piena. Ti aspettiamo! #MilanoLavoro #SpecialtyCoffee #CafeArtigianale #PausaCaffè #Milano",0.848,1.0,0.45
